bin	17,5	bin.1	18	bin.2	18,5	bin.3	19
504	0	6114	0	6114	0	6114	0
516	0	6258	0	6258	0	6258	0
528	0	6402	0	6402	0	6402	0
540	0	6546	0	6546	0	6546	0
552	0	6690	0	6690	0	6690	0
564	0	6834	0	6834	0	6834	0
576	0	6978	0	6978	0	6978	0
588	0	7122	0	7122	0	7122	0
600	0	7266	0	7266	0	7266	0
612	4	7410	0	7410	0	7410	0
624	28	7554	0	7554	0	7554	0
636	77	7698	0	7698	0	7698	0
648	174	7842	8	7842	0	7842	0
660	291	7986	40	7986	0	7986	0
672	349	8130	113	8130	2	8130	0
684	409	8274	239	8274	19	8274	0
696	447	8418	313	8418	76	8418	2
708	433	8562	397	8562	166	8562	6
720	380	8706	440	8706	283	8706	38
732	353	8850	430	8850	383	8850	113
744	327	8994	429	8994	437	8994	225
756	261	9138	403	9138	458	9138	313
768	242	9282	335	9282	459	9282	463
780	190	9426	285	9426	405	9426	430
792	183	9570	272	9570	359	9570	440
804	144	9714	203	9714	343	9714	471
816	123	9858	180	9858	297	9858	390
828	103	10002	166	10002	239	10002	373
840	83	10146	141	10146	193	10146	330
852	62	10290	112	10290	163	10290	257
864	61	10434	96	10434	141	10434	230
876	51	10578	78	10578	104	10578	186
888	36	10722	61	10722	88	10722	142
900	32	10866	52	10866	85	10866	136
912	37	11010	33	11010	56	11010	89
924	25	11154	33	11154	56	11154	90
936	14	11298	29	11298	37	11298	58
948	16	11442	14	11442	27	11442	40
960	9	11586	20	11586	25	11586	43
972	4	11730	15	11730	18	11730	31
984	10	11874	10	11874	19	11874	14
996	6	12018	6	12018	9	12018	14
1008	6	12162	7	12162	13	12162	15
1020	4	12306	8	12306	5	12306	13
1032	5	12450	4	12450	8	12450	8
1044	3	12594	2	12594	8	12594	7
1056	5	12738	2	12738	2	12738	8
1068	3	12882	4	12882	2	12882	8
1080	1	13026	3	13026	2	13026	4
1092	0	13170	1	13170	0	13170	4
1104	2	13314	3	13314	2	13314	2
1116	1	13458	4	13458	2	13458	0
1128	0	13602	1	13602	1	13602	1
1140	2	13746	1	13746	2	13746	0
1152	1	13890	0	13890	1	13890	0
1164	0	14034	0	14034	2	14034	0
1176	0	14178	1	14178	0	14178	1
1188	0	14322	2	14322	1	14322	1
1200	0	14466	0	14466	1	14466	0
1212	0	14610	0	14610	1	14610	0
1224	0	14754	0	14754	0	14754	1
1236	0	14898	0	14898	0	14898	0
1248	0	15042	0	15042	0	15042	0
1260	1	15186	1	15186	0	15186	0
1272	0	15330	0	15330	0	15330	1
1284	0	15474	0	15474	0	15474	1
1296	0	15618	1	15618	0	15618	0
1308	1	15762	0	15762	0	15762	0
1320	0	15906	0	15906	0	15906	0
1332	0	16050	0	16050	0	16050	0
1344	0	16194	0	16194	0	16194	0
1356	0	16338	0	16338	0	16338	0
1368	0	16482	0	16482	0	16482	1
1380	0	16626	0	16626	0	16626	0
1392	0	16770	0	16770	0	16770	0
1404	0	16914	0	16914	0	16914	0
1416	0	17058	0	17058	0	17058	0
1428	0	17202	0	17202	0	17202	0
1440	0	17346	0	17346	0	17346	0
1452	0	17490	0	17490	0	17490	0
1464	0	17634	0	17634	0	17634	0
1476	0	17778	0	17778	0	17778	0
1488	0	17922	0	17922	0	17922	0
1500	0	1500	0	1500	0	1500	0
