,18
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,2.5e-05
110,0.0
111,0.0
112,0.0
113,2.5e-05
114,2.5e-05
115,0.0
116,0.0001
117,5e-05
118,5e-05
119,5e-05
120,7.500000000000001e-05
121,0.0001
122,0.00015000000000000001
123,0.00025
124,0.0003250000000000001
125,0.00017500000000000003
126,0.000275
127,0.00025
128,0.00045
129,0.00055
130,0.0005250000000000001
131,0.00047500000000000005
132,0.00055
133,0.0006500000000000002
134,0.0009000000000000001
135,0.0008500000000000001
136,0.0009750000000000001
137,0.001125
138,0.001025
139,0.001125
140,0.001525
141,0.0011
142,0.001875
143,0.001875
144,0.001925
145,0.0023
146,0.001975
147,0.0021500000000000004
148,0.0025250000000000003
149,0.0029249999999999996
150,0.0023000000000000004
151,0.0020499999999999997
152,0.0024000000000000002
153,0.00275
154,0.002525
155,0.0025
156,0.0029750000000000006
157,0.00315
158,0.0029249999999999996
159,0.00335
160,0.0040999999999999995
161,0.004025
162,0.004175
163,0.0038750000000000004
164,0.00385
165,0.0042250000000000005
166,0.004225
167,0.00445
168,0.0045
169,0.0047
170,0.004900000000000001
171,0.00405
172,0.0054
173,0.005300000000000001
174,0.005699999999999999
175,0.005025
176,0.005125
177,0.006275
178,0.006849999999999999
179,0.005925000000000001
180,0.004275
181,0.0046500000000000005
182,0.006149999999999999
183,0.00675
184,0.005600000000000001
185,0.008725
186,0.0069500000000000004
187,0.008025000000000001
188,0.007350000000000001
189,0.005575
190,0.007325
191,0.008025
192,0.00745
193,0.007275
194,0.0079
195,0.0075250000000000004
196,0.006050000000000001
197,0.0072250000000000005
198,0.007875
199,0.007274999999999999
200,0.007625
201,0.00795
202,0.006875
203,0.008925
204,0.010124999999999999
205,0.009975
206,0.006775000000000001
207,0.008425
208,0.00825
209,0.008475
210,0.009025
211,0.0069
212,0.008199999999999999
213,0.0087
214,0.010025000000000003
215,0.009
216,0.009174999999999999
217,0.009474999999999999
218,0.007600000000000001
219,0.007125
220,0.01015
221,0.009375
222,0.010124999999999999
223,0.00895
224,0.0088
225,0.010125
226,0.0070999999999999995
227,0.008575
228,0.008475
229,0.008425
230,0.00815
231,0.010275
232,0.008674999999999999
233,0.006999999999999999
234,0.00845
235,0.0074
236,0.0076500000000000005
237,0.007175
238,0.009425
239,0.008174999999999998
240,0.008499999999999999
241,0.008199999999999999
242,0.00565
243,0.009499999999999998
244,0.008774999999999998
245,0.007925000000000001
246,0.008150000000000001
247,0.00815
248,0.006925000000000001
249,0.008075
250,0.0087
251,0.006525
252,0.006275
253,0.006575
254,0.007299999999999999
255,0.007925
256,0.005399999999999999
257,0.00795
258,0.008125
259,0.00745
260,0.007749999999999999
261,0.006274999999999999
262,0.006875
263,0.007350000000000001
264,0.006125
265,0.0062499999999999995
266,0.006025
267,0.00555
268,0.007125
269,0.006549999999999999
270,0.0047
271,0.005699999999999999
272,0.006699999999999999
273,0.00525
274,0.0058249999999999994
275,0.004775
276,0.00545
277,0.00545
278,0.004924999999999999
279,0.00625
280,0.005525
281,0.005075
282,0.005499999999999999
283,0.004424999999999999
284,0.004175
285,0.004699999999999999
286,0.004574999999999999
287,0.005325
288,0.004
289,0.0036500000000000005
290,0.003975
291,0.0070999999999999995
292,0.004325
293,0.004599999999999999
294,0.00555
295,0.004275
296,0.0045249999999999995
297,0.0052
298,0.003675
299,0.0048
300,0.0033499999999999997
301,0.0028749999999999995
302,0.0024999999999999996
303,0.0029
304,0.0028000000000000004
305,0.0032249999999999996
306,0.003974999999999999
307,0.00345
308,0.0029
309,0.004499999999999999
310,0.0029249999999999996
311,0.00375
312,0.0031249999999999997
313,0.00385
314,0.0021499999999999996
315,0.0035499999999999998
316,0.003725
317,0.0030999999999999995
318,0.002675
319,0.002525
320,0.00285
321,0.002325
322,0.0017749999999999999
323,0.0039
324,0.002775
325,0.0029999999999999996
326,0.0020999999999999994
327,0.0015749999999999998
328,0.0030999999999999995
329,0.0031499999999999996
330,0.0030749999999999996
331,0.0031499999999999996
332,0.002325
333,0.0032749999999999997
334,0.002775
335,0.003325
336,0.0014499999999999997
337,0.0017749999999999999
338,0.0018
339,0.0029749999999999998
340,0.0024749999999999998
341,0.0020999999999999994
342,0.00165
343,0.001925
344,0.0028499999999999997
345,0.0022249999999999995
346,0.0020999999999999994
347,0.002825
348,0.0011749999999999998
349,0.002025
350,0.0017
351,0.0011249999999999997
352,0.0011249999999999997
353,0.002175
354,0.0021249999999999997
355,0.0025499999999999997
356,0.0012749999999999999
357,0.001825
358,0.0007
359,0.0019749999999999998
360,0.0015
361,0.0014499999999999997
362,0.0025499999999999997
363,0.002175
364,0.000275
365,0.001475
366,0.0019499999999999997
367,0.0019999999999999996
368,0.0009
369,0.000725
370,0.000975
371,0.00095
372,0.0021249999999999997
373,0.0019749999999999998
374,0.0019749999999999998
375,0.0010999999999999996
376,0.0017749999999999999
377,0.0015999999999999999
378,0.000725
379,0.0010499999999999997
380,0.001625
381,0.0010999999999999998
382,0.000725
383,0.00022499999999999997
384,0.0017749999999999999
385,0.0015999999999999999
386,0.0007999999999999999
387,0.000875
388,0.000875
389,0.000975
390,0.0007
391,0.0010749999999999998
392,0.00025
393,0.0012499999999999998
394,0.0012499999999999998
395,0.000725
396,0.0014
397,0.000725
398,0.0009
399,0.0009
400,0.0010499999999999997
401,0.000875
402,0.000725
403,0.0005249999999999999
404,0.0012749999999999999
405,0.000375
406,0.001225
407,0.00019999999999999998
408,0.0007
409,0.0007
410,0.000725
411,0.000375
412,0.0005499999999999999
413,0.0005249999999999999
414,0.000725
