Xmax	Counts	CountsSqrt
480.0	0	0.0
492.0	0	0.0
504.0	1	1.0
516.0	0	0.0
528.0	0	0.0
540.0	2	1.4142135623730951
552.0	0	0.0
564.0	2	1.4142135623730951
576.0	3	1.7320508075688772
588.0	7	2.6457513110645907
600.0	6	2.449489742783178
612.0	22	4.69041575982343
624.0	25	5.0
636.0	48	6.928203230275509
648.0	103	10.14889156509222
660.0	127	11.269427669584644
672.0	153	12.36931687685298
684.0	174	13.19090595827292
696.0	148	12.165525060596439
708.0	141	11.874342087037917
720.0	110	10.488088481701515
732.0	151	12.288205727444508
744.0	110	10.488088481701515
756.0	112	10.583005244258363
768.0	55	7.416198487095663
780.0	73	8.54400374531753
792.0	52	7.211102550927978
804.0	36	6.0
816.0	33	5.744562646538029
828.0	24	4.898979485566356
840.0	21	4.58257569495584
852.0	14	3.7416573867739413
864.0	11	3.3166247903554
876.0	9	3.0
888.0	7	2.6457513110645907
900.0	4	2.0
912.0	3	1.7320508075688772
924.0	3	1.7320508075688772
936.0	1	1.0
948.0	1	1.0
960.0	0	0.0
972.0	1	1.0
984.0	1	1.0
996.0	0	0.0
1008.0	0	0.0
1020.0	0	0.0
1032.0	1	1.0
1044.0	0	0.0
1056.0	0	0.0
1068.0	0	0.0
