Xmax	Counts	CountsSqrt
480.0	0	0.0
492.0	0	0.0
504.0	0	0.0
516.0	0	0.0
528.0	0	0.0
540.0	0	0.0
552.0	0	0.0
564.0	0	0.0
576.0	1	1.0
588.0	0	0.0
600.0	0	0.0
612.0	1	1.0
624.0	3	1.7320508075688772
636.0	6	2.449489742783178
648.0	12	3.4641016151377544
660.0	27	5.196152422706632
672.0	51	7.14142842854285
684.0	58	7.615773105863909
696.0	82	9.055385138137417
708.0	119	10.908712114635714
720.0	96	9.797958971132712
732.0	87	9.327379053088816
744.0	93	9.643650760992955
756.0	67	8.18535277187245
768.0	52	7.211102550927978
780.0	51	7.14142842854285
792.0	33	5.744562646538029
804.0	38	6.164414002968976
816.0	28	5.291502622129181
828.0	22	4.69041575982343
840.0	21	4.58257569495584
852.0	11	3.3166247903554
864.0	10	3.1622776601683795
876.0	1	1.0
888.0	7	2.6457513110645907
900.0	2	1.4142135623730951
912.0	3	1.7320508075688772
924.0	2	1.4142135623730951
936.0	2	1.4142135623730951
948.0	2	1.4142135623730951
960.0	2	1.4142135623730951
972.0	2	1.4142135623730951
984.0	0	0.0
996.0	0	0.0
1008.0	1	1.0
1020.0	2	1.4142135623730951
1032.0	0	0.0
1044.0	0	0.0
1056.0	1	1.0
1068.0	0	0.0
